course_id,course_event_name,course_event_preptime,course_event_type,course_event_weightage,course_event_datetime,course_event_repeat,course_event_weekday
CSC108,CSC108:PCRS,3,assignment,1,,1,Sunday
CSC108,CSC108:Spatial Training Task,8,assignment,5,2022.10.01 23:00,0,
CSC108,CSC108:Lab,4,assignment,3,,1,Sunday
CSC108,CSC108:Midterm 1,14,test,13,2022.10.08 19:00,0,
CSC108,CSC108:Midterm 2,14,test,13,2022.11.12 19:00,0,
CSC148,CSC148:PCRA Reading,3,assignment,1,,1,Sunday
CSC148,CSC148:PCRA Coding,3,assignment,1,,1,Sunday
CSC148,CSC148:Lab,3,assignment,1,,1,Sunday
CSC148,CSC148:Midterm,20,test,13,2023.03.04 19:00,0,
CSC148,CSC148:A1,35,assignment,15,2023.02.22 19:00,0,
CSC148,CSC148:A2,37,assignment,15,2023.04.05 19:00,0,
MAT102,MAT102:Readings,2,assignment,5,,1,Sunday
MAT102,MAT102:PreQuiz,2,assignment,5,,1,Sunday
MAT102,MAT102:Midterm,13,test,16,2022.10.25 19:00,0,
MAT102,MAT102:Graded Problem Sets,5,assignment,3,,2,Saturday
MAT102,MAT102:Quiz,5,test,8,2022.09.20 19:00,0,
MAT102,MAT102:Quiz,5,test,8,2022.10.18 19:00,0,
MAT102,MAT102:Quiz,5,test,8,2022.11.15 19:00,0,
MAT102,MAT102:Quiz,5,test,8,2022.11.29 19:00,0,
MAT135,MAT135:Reading,2,assignment,2,,1,Wednesday
MAT135,MAT135:Prep Checks,2,assignment,2,,1,Wednesday
MAT135,MAT135:Written Assignment,3,assignment,2,,1,Sunday
MAT135,MAT135:Online Assignment,3,assignment,2,,1,Sunday
MAT135,MAT135:Midterm,11,test,20,2022.10.21 18:00,0,
MAT135,MAT135:Midterm,11,test,20,2022.11.18 18:00,0,
MAT136,MAT136:Reading,2,assignment,2,,1,Sunday
MAT136,MAT136:Prep Checks,2,assignment,2,,1,Sunday
MAT136,MAT136:Written Assignment,3,assignment,2,,1,Friday
MAT136,MAT136:Online Assignment,3,assignment,2,,1,Friday
MAT136,MAT136:Midterm,10,test,18,2023.02.11 16:00,0,
MAT136,MAT136:Midterm,10,test,18,2023.03.25 16:00,0,
MAT137,MAT137:Problem Set,6,assignment,4,,2,Sunday
MAT137,MAT137:Midterm,18,test,20,2022.10.29 16:00,0,
MAT137,MAT137:Midterm,18,test,20,2022.11.26 16:00,0,
MAT137,MAT137:Midterm,18,test,20,2023.02.11 16:00,0,
MAT137,MAT137:Midterm,18,test,20,2023.03.25 16:00,0,
STA107,STA107:Quiz,2,assignment,10,2023.01.26 14:00,0,
STA107,STA107:Quiz,2,assignment,10,2023.02.16 14:00,0,
STA107,STA107:Quiz,2,assignment,10,2023.03.23 14:00,0,
STA107,STA107:Quiz,2,assignment,10,2023.04.06 14:00,0,
STA107,STA107:Midterm,8,test,25,2023.02.07 16:00,0,
CSC108,CSC108:Final,12,test,30,2022.12.10 19:00,0,
MAT102,MAT102:Final,15,test,40,2022.12.11 19:00,0,
MAT135,MAT135:Final,12,test,40,2022.12.12 19:00,0,
MAT136,MAT136:Final,12,test,40,2023.04.12 19:00,0,
MAT137,MAT137:Final,12,test,40,2023.04.13 19:00,0,
STA107,STA107:Final,10,test,45,2023.04.14 19:00,0,
CSC148,CSC148:Final,15,test,45,2023.04.15 19:00,0,